Taxa,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CDBN_001_1543,-144.4464899411756,-10.488751247341504,-20.005134045830644,-38.25008133204479,29.880810033557175,-32.48429134443114,-36.10622000261558,-5.078268675088673,-48.95771201172752,-18.519086731006116
CDBN_003_5229,58.782486656262385,-142.52102949600518,-13.471361223574187,-3.16751175612513,-61.53715843560596,-10.641132114124561,-16.993578238968496,-11.762282076213383,-26.553017904230067,-32.157396224325616
CDBN_004_5501,74.73376309283219,-97.93384878350177,7.1034771022592045,-43.613680649257375,12.980549883697261,-8.078954530318065,17.062226266065668,48.71637532153915,-105.78927877963204,-8.387239858231828
CDBN_005_54028,153.35818928946617,15.006578028168258,145.7417648038275,117.98675245159725,69.15020761120563,-27.398155211653997,-2.873457136280333,133.16321558167039,-71.48695787910937,59.09480804831105
CDBN_006_55012,-30.34537109029572,-63.87112312763616,64.95045363110495,47.90293267527671,-81.26490448054001,89.09014667646574,38.326413375085494,-12.653565675624636,-15.752016245889997,-40.3539979849601
CDBN_008_87_1116,126.74059035678412,-90.12233132599684,57.15047456092386,8.0184127821761,15.445608865965243,24.09161839429708,66.29451500234897,-84.6926441998807,-122.998481207955,-25.422936543053748
CDBN_009_88_409,-79.26310449434907,-47.24799642411392,13.131984564518818,-16.056587796353735,-24.5122832728363,61.36363437948651,18.765111856800658,53.76520496706158,-17.963483358526407,-11.457553066414347
CDBN_010_93_207G,11.082885696103705,-48.019823594711106,47.772402079656636,-38.45016246989716,40.3165990746516,125.90152405225614,38.782418627679355,46.840837489583734,55.58552609868867,101.03094582599027
CDBN_011_93_208G,-19.507906147258357,-128.03714474216076,9.271010738693802,-73.03279775664204,27.969634415561202,133.28742232345635,9.857973009064384,1.1878172002175627,44.90444530672682,98.52520070695113
CDBN_012_93_219P,9.51728183055202,-94.68896197069995,9.332042329790792,-57.06810036724095,45.17922597801683,67.0922215457177,16.936029942938266,62.23782820342588,50.59481739167699,89.04696177849037
CDBN_013_94_1009P,141.26388151130624,-35.73085704280661,71.23165192407562,-69.76979610648584,44.0160750742983,-8.873625144310529,10.807268100964317,65.41708266241237,5.418425411854019,152.4517516396607
CDBN_014_97_409P,159.41379605192617,-173.52851689151288,46.23743639299579,-67.81612491485825,82.43181294836697,29.298797684066386,61.51975924385591,-175.11168781360507,9.19873323947792,60.85153476859153
CDBN_015_98_163G,-18.328534812164126,-109.24094686025512,28.32700789127708,-68.50187892692789,29.066663586468,69.30591305733809,36.57564930260472,46.67271049374745,60.08420934102091,98.16088610143666
