Taxa,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CDBN_001_1543,15.747416803902604,-27.346329650809146,16.01728373776646,-82.37736341123124,25.006115806082633,4.3954372194113205,-85.02847298645587,12.679479563506673,68.30472818065508,48.08438859946967
CDBN_009_88_409,66.70676500247458,25.066691981840282,-79.790652528829,98.28620684184453,48.838916055454874,-99.02519809762896,-75.38990740201312,50.48047065522128,88.88487745430848,32.14034362326157
CDBN_023_CU_M90,-0.9883199454002041,-100.8161522291919,107.26051102183075,-78.10710442332635,43.42325721917778,-60.317709416235736,-98.3301827926779,-43.526545044218594,-34.26982167293297,18.14975280118651
CDBN_026_Frigate,41.43155091351715,-52.98076286209695,-4.014366907552088,-14.356991095249546,13.925985110016933,161.13377678433068,-140.20933510682806,148.9970855835012,33.39940897386757,-141.14028123528
CDBN_028_H9673_87,-80.75713749420117,-79.07706339051514,-6.112549803119873,159.85465456276063,-148.83366295073847,-117.06573400362353,-30.30543752439716,28.240865542273752,39.9621049143549,47.40253696861677
CDBN_030_IS_4905_B,140.92102270398624,-20.232175093357455,-0.7208777992818903,113.57742640806748,46.146430807311965,-15.464157955605032,37.82856473306713,94.62566076136892,64.99151214462194,-22.65077819260543
CDBN_033_IS_4923_B,162.9442173959909,54.572912730783784,101.55903155059997,96.07557669642101,-36.9463508161092,13.374561452907221,129.4985483706748,135.8364720413537,-9.389110410333641,-53.209105006940554
CDBN_034_IS_4924_B,28.910487382391683,-46.00623077594142,84.78559889075942,-32.51087020974916,7.30623530083266,59.576275440831054,-199.73515162984432,95.96899932335695,-34.67726165254504,-195.1465317274344
CDBN_036_ISB_1252,75.90429083397602,-44.72811840849952,89.56781269278812,-54.725044719783334,42.65562790607017,116.77783650323008,-164.5323064711026,92.17603525426254,-15.582165835230333,-136.32165485768888
CDBN_037_ISB_1256,61.745929483178195,-53.861332502288235,57.25719248799959,11.724715769212663,-17.52429415654162,141.84126590201294,-40.980888562568495,245.6039427138035,-46.736780223447575,-155.93563784102906
CDBN_038_ISB_1614,92.41447169522927,-102.49122526851302,-78.87878373724561,-169.98314151900607,-54.24279309071998,36.66179649564337,38.08855267875166,2.345370684976356,-7.821635851344078,32.098140391807
CDBN_039_ISB_1814,124.80086423400353,-47.60916495929883,-65.2989825094107,-87.70160967493314,-67.20648695577653,-42.60161137254842,61.49110310299899,-3.055789519884959,57.28632283329981,4.986379643951603
