Location_code,Year,Taxa,CDBN_ID,Seq_ID,Race,SY
IDKI,2015,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,1142.4
IDKI,2015,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,1193.92
IDKI,2015,CDBN_349_Zenith,Zenith,CDBN_349,Mesoamerican,2661.1200000000003
MIEN,2015,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,1917.4400000000003
MIEN,2015,CDBN_339_Dynasty,Dynasty,CDBN_339,Nueva Granada,3130.4
MIEN,2015,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,2430.4
MIEN,2015,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,2595.0400000000004
MIEN,2015,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,3363.36
MIEN,2015,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,1771.8400000000001
MIEN,2015,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,2271.36
MIEN,2015,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,2904.1600000000003
MISA,2015,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,2745.1200000000003
MISA,2015,CDBN_351_Alpena,Alpena,CDBN_351,Mesoamerican,2763.0400000000004
MISA,2015,CDBN_345_COSD_35,COSD_35,CDBN_345,Durango,2729.44
MISA,2015,CDBN_332_COSD_7,COSD_7,CDBN_332,Durango,2298.2400000000002
MISA,2015,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,3297.28
MISA,2015,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,1813.2800000000002
MISA,2015,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Jalisco,2869.44
MISA,2015,CDBN_095_Othello,Othello,CDBN_095,Durango,872.4800000000001
MISA,2015,CDBN_342_PT9_5_6,PT9_5_6,CDBN_342,Durango,3136.0000000000005
MISA,2015,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,2430.4
MISA,2015,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,1522.0800000000002
MISA,2015,CDBN_310_T_39,T_39,CDBN_310,Mesoamerican,2045.1200000000001
MISA,2015,CDBN_349_Zenith,Zenith,CDBN_349,Mesoamerican,2614.0800000000004
MNPR,2015,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,2833.6000000000004
MNPR,2015,CDBN_339_Dynasty,Dynasty,CDBN_339,Nueva Granada,3360.0000000000005
MNPR,2015,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,2329.6000000000004
MNPR,2015,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,3763.2000000000003
MNPR,2015,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,3449.6000000000004
MNPR,2015,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,3393.6000000000004
MNPR,2015,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,3203.2000000000003
MNPR,2015,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,3236.8
MTSI,2015,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,2726.0800000000004
MTSI,2015,CDBN_351_Alpena,Alpena,CDBN_351,Mesoamerican,2317.28
MTSI,2015,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,1105.44
MTSI,2015,CDBN_345_COSD_35,COSD_35,CDBN_345,Durango,3522.4000000000005
MTSI,2015,CDBN_332_COSD_7,COSD_7,CDBN_332,Durango,2355.36
MTSI,2015,CDBN_339_Dynasty,Dynasty,CDBN_339,Nueva Granada,1508.64
MTSI,2015,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,2317.28
MTSI,2015,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,3152.8
MTSI,2015,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Jalisco,2386.7200000000003
MTSI,2015,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,1282.4
MTSI,2015,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,2005.9200000000003
MTSI,2015,CDBN_095_Othello,Othello,CDBN_095,Durango,3858.4000000000005
MTSI,2015,CDBN_342_PT9_5_6,PT9_5_6,CDBN_342,Durango,2936.6400000000003
MTSI,2015,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,2437.1200000000003
MTSI,2015,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,2502.0800000000004
MTSI,2015,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,3137.1200000000003
MTSI,2015,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,1049.44
MTSI,2015,CDBN_310_T_39,T_39,CDBN_310,Mesoamerican,2227.6800000000003
MTSI,2015,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,1999.2000000000003
MTSI,2015,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,2298.2400000000002
MTSI,2015,CDBN_349_Zenith,Zenith,CDBN_349,Mesoamerican,3190.88
NDHA,2015,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,3808.0000000000005
NDHA,2015,CDBN_351_Alpena,Alpena,CDBN_351,Mesoamerican,2721.6000000000004
NDHA,2015,CDBN_345_COSD_35,COSD_35,CDBN_345,Durango,3024.0000000000005
NDHA,2015,CDBN_332_COSD_7,COSD_7,CDBN_332,Durango,3158.4
NDHA,2015,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,3628.8
NDHA,2015,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,2968.0000000000005
NDHA,2015,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Jalisco,2800.0000000000005
NDHA,2015,CDBN_095_Othello,Othello,CDBN_095,Durango,3192.0000000000005
NDHA,2015,CDBN_342_PT9_5_6,PT9_5_6,CDBN_342,Durango,4020.8
NDHA,2015,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,2251.2000000000003
NDHA,2015,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,3427.2000000000003
NDHA,2015,CDBN_310_T_39,T_39,CDBN_310,Mesoamerican,2284.8
NDHA,2015,CDBN_349_Zenith,Zenith,CDBN_349,Mesoamerican,2105.6000000000004
NESB,2015,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,1695.68
NESB,2015,CDBN_351_Alpena,Alpena,CDBN_351,Mesoamerican,1490.7200000000003
NESB,2015,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,716.8000000000001
NESB,2015,CDBN_345_COSD_35,COSD_35,CDBN_345,Durango,1891.6800000000003
NESB,2015,CDBN_332_COSD_7,COSD_7,CDBN_332,Durango,2014.88
NESB,2015,CDBN_339_Dynasty,Dynasty,CDBN_339,Nueva Granada,996.8000000000001
NESB,2015,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,2234.4
NESB,2015,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,3069.92
NESB,2015,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Jalisco,1856.9600000000003
NESB,2015,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,1019.2
NESB,2015,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,1322.72
NESB,2015,CDBN_095_Othello,Othello,CDBN_095,Durango,1594.88
NESB,2015,CDBN_342_PT9_5_6,PT9_5_6,CDBN_342,Durango,2130.2400000000002
NESB,2015,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,1396.64
NESB,2015,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,1332.8000000000002
NESB,2015,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,1878.2400000000002
NESB,2015,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,1134.5600000000002
NESB,2015,CDBN_310_T_39,T_39,CDBN_310,Mesoamerican,1685.6000000000001
NESB,2015,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,999.0400000000001
NESB,2015,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,791.84
NESB,2015,CDBN_349_Zenith,Zenith,CDBN_349,Mesoamerican,1507.5200000000002
ONEL,2015,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,2130.2400000000002
ONEL,2015,CDBN_351_Alpena,Alpena,CDBN_351,Mesoamerican,3288.32
ONEL,2015,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,1551.2
ONEL,2015,CDBN_345_COSD_35,COSD_35,CDBN_345,Durango,2699.2000000000003
ONEL,2015,CDBN_332_COSD_7,COSD_7,CDBN_332,Durango,2514.4
ONEL,2015,CDBN_339_Dynasty,Dynasty,CDBN_339,Nueva Granada,2834.7200000000003
ONEL,2015,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,3392.4800000000005
ONEL,2015,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,2620.8
ONEL,2015,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Jalisco,2100
ONEL,2015,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,1892.8000000000002
ONEL,2015,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,2609.6000000000004
ONEL,2015,CDBN_095_Othello,Othello,CDBN_095,Durango,1076.3200000000002
ONEL,2015,CDBN_342_PT9_5_6,PT9_5_6,CDBN_342,Durango,3304.0000000000005
ONEL,2015,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,2476.32
ONEL,2015,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,2105.6000000000004
ONEL,2015,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,2667.84
ONEL,2015,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,1774.0800000000002
ONEL,2015,CDBN_310_T_39,T_39,CDBN_310,Mesoamerican,3756.4800000000005
ONEL,2015,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,2003.6800000000003
ONEL,2015,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,2567.0400000000004
ONEL,2015,CDBN_349_Zenith,Zenith,CDBN_349,Mesoamerican,2597.28
WAOT,2015,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,4894.4000000000005
WAOT,2015,CDBN_351_Alpena,Alpena,CDBN_351,Mesoamerican,4872.000000000001
WAOT,2015,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,3169.6000000000004
WAOT,2015,CDBN_345_COSD_35,COSD_35,CDBN_345,Durango,4353.4400000000005
WAOT,2015,CDBN_332_COSD_7,COSD_7,CDBN_332,Durango,3629.9200000000005
WAOT,2015,CDBN_339_Dynasty,Dynasty,CDBN_339,Nueva Granada,3848.32
WAOT,2015,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,5047.84
WAOT,2015,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,4552.8
WAOT,2015,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Jalisco,4649.120000000001
WAOT,2015,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,3133.76
WAOT,2015,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,3675.84
WAOT,2015,CDBN_095_Othello,Othello,CDBN_095,Durango,4363.52
WAOT,2015,CDBN_342_PT9_5_6,PT9_5_6,CDBN_342,Durango,5475.68
WAOT,2015,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,4262.72
WAOT,2015,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,3143.84
WAOT,2015,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,4437.4400000000005
WAOT,2015,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,2708.1600000000003
WAOT,2015,CDBN_310_T_39,T_39,CDBN_310,Mesoamerican,4541.6
WAOT,2015,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,3270.4
WAOT,2015,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,4094.7200000000003
WAOT,2015,CDBN_349_Zenith,Zenith,CDBN_349,Mesoamerican,4684.96
WYPO,2015,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,3762.0800000000004
WYPO,2015,CDBN_351_Alpena,Alpena,CDBN_351,Mesoamerican,2863.84
WYPO,2015,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,1928.64
WYPO,2015,CDBN_345_COSD_35,COSD_35,CDBN_345,Durango,3617.6000000000004
WYPO,2015,CDBN_332_COSD_7,COSD_7,CDBN_332,Durango,3689.28
WYPO,2015,CDBN_339_Dynasty,Dynasty,CDBN_339,Nueva Granada,3440.6400000000003
WYPO,2015,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,3893.1200000000003
WYPO,2015,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,2980.32
WYPO,2015,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Jalisco,4141.76
WYPO,2015,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,2462.88
WYPO,2015,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,3041.92
WYPO,2015,CDBN_095_Othello,Othello,CDBN_095,Durango,4527.040000000001
WYPO,2015,CDBN_342_PT9_5_6,PT9_5_6,CDBN_342,Durango,3834.8800000000006
WYPO,2015,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,3661.28
WYPO,2015,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,2860.4800000000005
WYPO,2015,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,3886.4000000000005
WYPO,2015,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,1794.2400000000002
WYPO,2015,CDBN_310_T_39,T_39,CDBN_310,Mesoamerican,2858.2400000000002
WYPO,2015,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,1784.16
WYPO,2015,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,2820.1600000000003
WYPO,2015,CDBN_349_Zenith,Zenith,CDBN_349,Mesoamerican,2528.96
CADV,2014,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,3088.9600000000005
CADV,2014,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,2919.84
CADV,2014,CDBN_185_CO_91212_4,CO_91212_4,CDBN_185,Durango,2733.92
CADV,2014,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,2254.5600000000004
CADV,2014,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,2782.0800000000004
CADV,2014,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Jalisco,3414.88
CADV,2014,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,1887.2000000000003
CADV,2014,CDBN_173_ND060197,ND060197,CDBN_173,Durango,2326.2400000000002
CADV,2014,CDBN_160_NY_105,NY_105,CDBN_160,Nueva Granada,3095.6800000000003
CADV,2014,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,2621.92
CADV,2014,CDBN_095_Othello,Othello,CDBN_095,Durango,3459.6800000000003
CADV,2014,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,1834.5600000000002
CADV,2014,CDBN_070_R12859,R12859,CDBN_070,Durango,2290.4
CADV,2014,CDBN_236_Rosetta,Rosetta,CDBN_236,Durango,3017.28
CADV,2014,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,1510.88
CADV,2014,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,940.8000000000001
CADV,2014,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,2938.88
CADV,2014,CDBN_310_T_39,T_39,CDBN_310,Mesoamerican,2786.5600000000004
CADV,2014,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,1785.2800000000002
CADV,2014,CDBN_235_UCD_9623,UCD_9623,CDBN_235,Jalisco,2728.32
CADV,2014,CDBN_218_UCD_9634,UCD_9634,CDBN_218,Durango,3780.0000000000005
CADV,2014,CDBN_343_USPT11_13,USPT11_13,CDBN_343,Durango,4139.52
CADV,2014,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,3267.0400000000004
IDKI,2014,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,4118.240000000001
IDKI,2014,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,1704.64
IDKI,2014,CDBN_185_CO_91212_4,CO_91212_4,CDBN_185,Durango,3502.2400000000002
IDKI,2014,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,3449.6000000000004
IDKI,2014,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,3803.5200000000004
IDKI,2014,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Jalisco,3842.7200000000003
IDKI,2014,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,2269.1200000000003
IDKI,2014,CDBN_173_ND060197,ND060197,CDBN_173,Durango,3856.1600000000003
IDKI,2014,CDBN_160_NY_105,NY_105,CDBN_160,Nueva Granada,2032.8000000000002
IDKI,2014,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,3461.9200000000005
IDKI,2014,CDBN_095_Othello,Othello,CDBN_095,Durango,2767.5200000000004
IDKI,2014,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,3199.84
IDKI,2014,CDBN_070_R12859,R12859,CDBN_070,Durango,3948.0000000000005
IDKI,2014,CDBN_236_Rosetta,Rosetta,CDBN_236,Durango,2623.0400000000004
IDKI,2014,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,1626.2400000000002
IDKI,2014,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,3711.6800000000003
IDKI,2014,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,1665.44
IDKI,2014,CDBN_310_T_39,T_39,CDBN_310,Mesoamerican,2347.5200000000004
IDKI,2014,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,1770.7200000000003
IDKI,2014,CDBN_235_UCD_9623,UCD_9623,CDBN_235,Jalisco,2452.8
IDKI,2014,CDBN_218_UCD_9634,UCD_9634,CDBN_218,Durango,3318.5600000000004
IDKI,2014,CDBN_343_USPT11_13,USPT11_13,CDBN_343,Durango,4826.080000000001
IDKI,2014,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,2216.48
MIEN,2014,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,3875.2000000000003
MIEN,2014,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,3424.9600000000005
MIEN,2014,CDBN_160_NY_105,NY_105,CDBN_160,Nueva Granada,3335.36
MIEN,2014,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,3031.84
MIEN,2014,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,2945.6000000000004
MIEN,2014,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,3907.6800000000003
MIEN,2014,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,3717.28
MIEN,2014,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,3564.9600000000005
MISA,2014,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,3992.8
MISA,2014,CDBN_185_CO_91212_4,CO_91212_4,CDBN_185,Durango,3881.9200000000005
MISA,2014,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,5352.4800000000005
MISA,2014,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,4047.6800000000003
MISA,2014,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Jalisco,5233.76
MISA,2014,CDBN_173_ND060197,ND060197,CDBN_173,Durango,4226.88
MISA,2014,CDBN_095_Othello,Othello,CDBN_095,Durango,2910.88
MISA,2014,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,4437.4400000000005
MISA,2014,CDBN_070_R12859,R12859,CDBN_070,Durango,4374.72
MISA,2014,CDBN_236_Rosetta,Rosetta,CDBN_236,Durango,4323.200000000001
MISA,2014,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,4205.6
MISA,2014,CDBN_310_T_39,T_39,CDBN_310,Mesoamerican,3420.4800000000005
MISA,2014,CDBN_235_UCD_9623,UCD_9623,CDBN_235,Jalisco,3212.1600000000003
MISA,2014,CDBN_218_UCD_9634,UCD_9634,CDBN_218,Durango,3795.6800000000003
MISA,2014,CDBN_343_USPT11_13,USPT11_13,CDBN_343,Durango,5294.240000000001
MNPR,2014,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,907.2
MNPR,2014,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,985.6000000000001
MNPR,2014,CDBN_160_NY_105,NY_105,CDBN_160,Nueva Granada,1344.0000000000002
MNPR,2014,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,2744.0000000000005
MNPR,2014,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,2497.6000000000004
MNPR,2014,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,1120
MNPR,2014,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,2340.8
MNPR,2014,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,1747.2000000000003
MTSI,2014,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,5036.64
MTSI,2014,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,3367.84
MTSI,2014,CDBN_185_CO_91212_4,CO_91212_4,CDBN_185,Durango,4494.56
MTSI,2014,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,4454.240000000001
MTSI,2014,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,4505.76
MTSI,2014,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Jalisco,4230.240000000001
MTSI,2014,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,4420.64
MTSI,2014,CDBN_173_ND060197,ND060197,CDBN_173,Durango,5208.000000000001
MTSI,2014,CDBN_160_NY_105,NY_105,CDBN_160,Nueva Granada,3796.8
