Location_code,Year,Taxa,CDBN_ID,Seq_ID,Race,SY
CADV,2015,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,1774.0800000000002
CADV,2015,CDBN_351_Alpena,Alpena,CDBN_351,Mesoamerican,1908.4800000000002
CADV,2015,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,871.3600000000001
CADV,2015,CDBN_345_COSD_35,COSD_35,CDBN_345,Durango,1779.68
CADV,2015,CDBN_332_COSD_7,COSD_7,CDBN_332,Durango,2347.5200000000004
CADV,2015,CDBN_339_Dynasty,Dynasty,CDBN_339,Nueva Granada,1983.5200000000002
CADV,2015,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,1432.4800000000002
CADV,2015,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,1463.8400000000001
CADV,2015,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Jalisco,2610.7200000000003
CADV,2015,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,921.7600000000001
CADV,2015,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,1680.0000000000002
CADV,2015,CDBN_095_Othello,Othello,CDBN_095,Durango,1696.8000000000002
CADV,2015,CDBN_342_PT9_5_6,PT9_5_6,CDBN_342,Durango,2850.4
CADV,2015,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,1646.4
CADV,2015,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,1121.1200000000001
CADV,2015,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,1678.88
CADV,2015,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,1192.8000000000002
CADV,2015,CDBN_310_T_39,T_39,CDBN_310,Mesoamerican,990.08
CADV,2015,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,661.9200000000001
CADV,2015,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,973.2800000000001
CADV,2015,CDBN_349_Zenith,Zenith,CDBN_349,Mesoamerican,2038.4
COFC,2015,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,1498.5600000000002
COFC,2015,CDBN_351_Alpena,Alpena,CDBN_351,Mesoamerican,2972.4800000000005
COFC,2015,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,1929.7600000000002
COFC,2015,CDBN_345_COSD_35,COSD_35,CDBN_345,Durango,3525.76
COFC,2015,CDBN_332_COSD_7,COSD_7,CDBN_332,Durango,3645.6000000000004
COFC,2015,CDBN_339_Dynasty,Dynasty,CDBN_339,Nueva Granada,3043.0400000000004
COFC,2015,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,1797.6000000000001
COFC,2015,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,2598.4
COFC,2015,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Jalisco,3564.9600000000005
COFC,2015,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,2780.9600000000005
COFC,2015,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,3442.88
COFC,2015,CDBN_095_Othello,Othello,CDBN_095,Durango,1643.0400000000002
COFC,2015,CDBN_342_PT9_5_6,PT9_5_6,CDBN_342,Durango,4159.68
COFC,2015,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,4131.68
COFC,2015,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,2724.96
COFC,2015,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,2337.44
COFC,2015,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,1956.64
COFC,2015,CDBN_310_T_39,T_39,CDBN_310,Mesoamerican,3692.6400000000003
COFC,2015,CDBN_060_Talon,Talon,CDBN_060,Nueva Granada,2107.84
COFC,2015,CDBN_061_Yeti,Yeti,CDBN_061,Nueva Granada,2731.6800000000003
COFC,2015,CDBN_349_Zenith,Zenith,CDBN_349,Mesoamerican,3080.0000000000005
IDKI,2015,CDBN_054_23ST_27,23ST_27,CDBN_054,Durango,3581.76
IDKI,2015,CDBN_351_Alpena,Alpena,CDBN_351,Mesoamerican,2780.9600000000005
IDKI,2015,CDBN_171_CELRK,CELRK,CDBN_171,Nueva Granada,1177.1200000000001
IDKI,2015,CDBN_345_COSD_35,COSD_35,CDBN_345,Durango,2797.76
IDKI,2015,CDBN_332_COSD_7,COSD_7,CDBN_332,Durango,2934.4
IDKI,2015,CDBN_339_Dynasty,Dynasty,CDBN_339,Nueva Granada,2080.96
IDKI,2015,CDBN_067_ElDorado,ElDorado,CDBN_067,Durango,2712.6400000000003
IDKI,2015,CDBN_062_Fathom,Fathom,CDBN_062,Mesoamerican,2984.8
IDKI,2015,CDBN_068_Gypsy_Rose,Gypsy_Rose,CDBN_068,Jalisco,3104.6400000000003
IDKI,2015,CDBN_172_Majesty,Majesty,CDBN_172,Nueva Granada,1432.4800000000002
IDKI,2015,CDBN_063_OAC_Inferno,OAC_Inferno,CDBN_063,Nueva Granada,2269.1200000000003
IDKI,2015,CDBN_095_Othello,Othello,CDBN_095,Durango,2609.6000000000004
IDKI,2015,CDBN_342_PT9_5_6,PT9_5_6,CDBN_342,Durango,3564.9600000000005
IDKI,2015,CDBN_069_Powderhorn,Powderhorn,CDBN_069,Durango,2644.32
IDKI,2015,CDBN_161_Rosie,Rosie,CDBN_161,Nueva Granada,1075.2
IDKI,2015,CDBN_059_SF103_8,SF103_8,CDBN_059,Durango,2507.6800000000003
IDKI,2015,CDBN_071_Snowdon,Snowdon,CDBN_071,Nueva Granada,1057.2800000000002
IDKI,2015,CDBN_310_T_39,T_39,CDBN_310,Mesoamerican,1944.3200000000002
