Site,Location_code,MATCH,Latitude,Longitude,Year,Date,Heritability
NDAR,NDAR,1,47.10414,-97.218143,1985,1985-01-01,0.8530207
NDCA,NDCA,1,47.50822,-99.120669,1985,1985-01-01,NA
NDER,NDER,1,47.11533,-97.387892,1985,1985-01-01,NA
NDFA,NDFA,1,46.8994,-96.811921,1985,1985-01-01,NA
NDHA,NDHA,1,47.6331,-97.460334,1985,1985-01-01,0.6185381
NDPR,NDPR,1,46.99889,-97.113918,1985,1985-01-01,NA
NEMI,NEMI,1,41.94062,-103.821274,1985,1985-01-01,NA
NENP,NENP,1,41.08757,-100.778668,1985,1985-01-01,NA
NES2,NES2,1,41.89178,-103.678862,1985,1985-01-01,NA
NESB,NESB,1,41.94255,-103.814399,1985,1985-01-01,NA
NMFA,NMFA,1,36.68915,-108.307665,1985,1985-01-01,0.1650339
NYFR,NYFR,1,42.52198,-76.330525,1985,1985-01-01,0.4537131
ONEL,ONEL,1,43.6419,-80.401772,1985,1985-01-01,NA
ONEX,ONEX,1,43.31734,-81.506848,1985,1985-01-01,NA
ONGU,ONGU,1,43.54903,-80.213818,1985,1985-01-01,0.3941278
ONHA,ONHA,1,42.02955,-82.900968,1985,1985-01-01,NA
PRIS,PRIS,1,18.46457,-67.052045,1985,1985-01-01,0.5017898
SKOU,SKOU,1,51.47894,-107.050903,1985,1985-01-01,NA
SKSA,SKSA,1,52.13359,-106.609455,1985,1985-01-01,NA
TXCS,TXCS,1,30.540641,-96.427962,1985,1985-01-01,NA
TXLU,TXLU,1,33.6915,-101.826086,1985,1985-01-01,NA
TXMU,TXMU,1,33.45195,-99.614823,1985,1985-01-01,NA
TXVE,TXVE,1,34.080061,-99.368349,1985,1985-01-01,NA
WAOT,WAOT,1,46.79111,-119.033087,1985,1985-01-01,NA
WARO,WARO,1,46.29334,-119.734117,1985,1985-01-01,0.8071728
WAVA,WAVA,1,45.67664,-122.649114,1985,1985-01-01,0.8662667
WYLI,WYLI,1,42.13224,-104.394135,1985,1985-01-01,NA
WYPO,WYPO,1,44.77592,-108.758948,1985,1985-01-01,NA
WYRI,WYRI,1,43.0281,-108.426538,1985,1985-01-01,0.6333934
WYTO,WYTO,1,42.0815,-104.219912,1985,1985-01-01,NA
ABBI,ABBI,1,49.869621,-111.377099,1986,1985-01-01,0.8646846
ABBR,ABBR,1,50.549506,-111.852109,1986,1986-01-01,0.09892964
ABLE,ABLE,1,49.69886,-112.763594,1986,1986-01-01,NA
ABVA,ABVA,1,50.052864,-112.126564,1986,1986-01-01,NA
AZBO,AZBO,1,32.451195,-109.958609,1986,1986-01-01,NA
AZHE,AZHE,1,31.43833,-110.108139,1986,1986-01-01,0
AZKS,AZKS,1,32.12751,-109.752162,1986,1986-01-01,NA
AZSA,AZSA,1,32.81499,-109.680619,1986,1986-01-01,0.4705153
CACH,CACH,1,39.6903,-121.823782,1986,1986-01-01,0
CACO,CACO,1,39.2,-122.02,1986,1986-01-01,NA
CAD2,CAD2,1,38.53505,-121.783175,1986,1986-01-01,NA
CADV,CADV,1,38.53782,-121.756973,1986,1986-01-01,0.7408075
CAIR,CAIR,1,33.6884,-117.722118,1986,1986-01-01,0.6441974
CAOR,CAOR,1,39.62961,-122.005533,1986,1986-01-01,0.39439
CARI,CARI,1,33.96833,-117.339196,1986,1986-01-01,0.1489149
