"Location_code","Race","SY","Heritability"
"ONEX","Nueva Granada",1144.28631578947,0.497561055555556
"ONGU","Durango",2325.05412257837,0.258700303888889
"ONGU","Mesoamerican",2431.27803722746,0.417294105555556
"ONGU","Nueva Granada",2015.54824239187,0.1015304375
"ONHA","Mesoamerican",2943.48444444444,0.578242
"SKOU","Durango",1759.46954954955,0.153991621666667
"SKOU","Mesoamerican",1389.44452830189,0.0932449950000001
"SKOU","Nueva Granada",1627.70461538462,0.133615037272727
"SKSA","Durango",1314.944,0.17488733133575
"SKSA","Mesoamerican",1171.22371555556,0.2259009425
"SKSA","Nueva Granada",710.591611851852,0.104033338571429
"TXLU","Durango",1122.18909090909,0.069843728000908
"TXLU","Mesoamerican",1181.62986666667,0.219845670000001
"TXLU","Nueva Granada",839.44,0.22957225000766
"WAOT","Durango",3679.72487515924,0.335102710967742
"WAOT","Mesoamerican",3336.71084923077,0.361984169666667
"WAOT","Nueva Granada",2270.22722147651,0.477429738333333
"WARO","Durango",2911.21403508772,0.5415031
"WARO","Mesoamerican",2531.16357723577,0.472035146153846
"WARO","Nueva Granada",1500.16533333333,0.353347115401385
"WYPO","Durango",3356.70778947368,0.257029767108032
"WYPO","Mesoamerican",2795.940657277,0.425656287439871
"WYPO","Nueva Granada",2272.23684210526,0.342555638022935
"WYTO","Durango",2868.57128205128,0.320448045357143
"WYTO","Mesoamerican",2599.66769230769,0.327040221428571
"WYTO","Nueva Granada",2067.35709090909,0.376105019228571
