"Race","p50","p05","p95","x_val"
"Durango",363.341586780122,326.648113852417,400.928906877573,1981
"Mesoamerican",365.000895252968,319.384061409815,410.06153084663,1981
"Nueva Granada",356.958152566358,299.562955556971,415.723876181665,1981
"Durango",363.341586780122,326.648113852417,400.928906877573,2015
"Mesoamerican",365.000895252968,319.384061409815,410.06153084663,2015
"Nueva Granada",356.958152566358,299.562955556971,415.723876181665,2015
