"Location_code","Race","HFA","H"
"IDPA","Nueva Granada",544.789934147244,0.262762741666667
"IDTF","Durango",747.544348515868,0.228073671428571
"IDTF","Mesoamerican",551.697459376373,0.729371957142857
"IDTF","Nueva Granada",78.4736842105308,0.738928114285714
"KSMA","Durango",186.999421906819,0.257404276363636
"KSMA","Mesoamerican",NA,NA
"KSMA","Nueva Granada",NA,NA
"KSTR","Durango",340.393808247528,0.38172138
"KSTR","Mesoamerican",593.764073769367,0.54110662
"KSTR","Nueva Granada",NA,0.312064514
"MBMO","Durango",631.129457777778,0.242433
"MBMO","Mesoamerican",NA,0.473485583333333
"MBMO","Nueva Granada",376.016190476191,0.52997038
"MIEN","Durango",NA,NA
"MIEN","Mesoamerican",NA,NA
"MIEN","Nueva Granada",741.486685823754,0.308416896904167
"MISA","Durango",498.226179568704,0.280305881209194
"MISA","Mesoamerican",509.912281245449,0.344205617419355
"MISA","Nueva Granada",800.044898024775,0.479715888888889
"MNBE","Durango",434.653201183813,0.17167835
"MNBE","Mesoamerican",NA,0.43299365
"MNBE","Nueva Granada",NA,0.04529716
"MNCR","Durango",264.053283805319,0.05779177
"MNCR","Mesoamerican",NA,0.18733695
"MNCR","Nueva Granada",NA,1.63e-10
"MNLA","Durango",NA,0.0387959
"MNLA","Mesoamerican",NA,0.83635775
"MNLA","Nueva Granada",NA,0
"MNMO","Durango",NA,0.508227133333333
"MNMO","Mesoamerican",616.062258064511,0.741945933333333
"MNMO","Nueva Granada",NA,0
"MNPR","Durango",NA,NA
"MNPR","Mesoamerican",NA,NA
"MNPR","Nueva Granada",NA,0.4556279
"MOCO","Durango",625.232074169165,0.235853923333333
"MOCO","Mesoamerican",498.447792403675,0.3288751225
"MOCO","Nueva Granada",394.854825410905,0.241079160007875
"MTHU","Durango",368.891188811187,0.236899771496857
"MTHU","Mesoamerican",1193.30293910061,0.1808634
"MTHU","Nueva Granada",NA,0
"MTSI","Durango",477.12766131356,0.503644055636484
"MTSI","Mesoamerican",504.382377480892,0.287101491382903
"MTSI","Nueva Granada",425.524010217114,0.215317645541677
"NDER","Durango",417.839912062851,0.535123755555556
"NDER","Mesoamerican",343.019537467419,0.525674204444444
"NDER","Nueva Granada",538.10527608903,0.45538405
"NDFA","Durango",564.237628636286,0.231345810145714
"NDFA","Mesoamerican",NA,0.109528159616364
"NDFA","Nueva Granada",307.523007352939,0.58376841
"NDHA","Durango",442.598057660099,0.4818534517775
"NDHA","Mesoamerican",406.016581699347,0.112511729107273
"NDHA","Nueva Granada",NA,0.171387333333333
"NEMI","Durango",755.892536456484,0.187430416593001
"NEMI","Mesoamerican",821.292888888886,0.173438276923077
"NEMI","Nueva Granada",NA,0.154484183846154
"NESB","Durango",516.972230795959,0.272060668896552
"NESB","Mesoamerican",794.856011447809,0.250407282413793
"NESB","Nueva Granada",388.181111111112,0.350735226231448
"NMFA","Durango",520.995989108958,0.2004101722
"NMFA","Mesoamerican",667.543659257069,0.338051234
"NMFA","Nueva Granada",541.02088888889,0.377584178947368
"NYFR","Durango",371.761791131215,0.364239863201923
"NYFR","Mesoamerican",312.290320775146,0.446118698
"NYFR","Nueva Granada",491.202259760326,0.338976491614885
"ONEL","Durango",718.654802716276,0.615772945454545
"ONEL","Mesoamerican",464.472186732187,0.333253319
"ONEL","Nueva Granada",NA,0.235121341818182
"ONEX","Durango",362.984786572103,0.153050022222222
"ONEX","Mesoamerican",451.364663169759,0.537340055555556
"ONEX","Nueva Granada",312.389154066437,0.497561055555556
"ONGU","Durango",581.91545170489,0.258700303888889
"ONGU","Mesoamerican",487.268859829266,0.417294105555556
"ONGU","Nueva Granada",297.489195298457,0.1015304375
"ONHA","Durango",NA,NA
"ONHA","Mesoamerican",NA,0.578242
"ONHA","Nueva Granada",NA,NA
"SKOU","Durango",986.570101010103,0.153991621666667
"SKOU","Mesoamerican",493.431387431742,0.0932449950000001
"SKOU","Nueva Granada",NA,0.133615037272727
"SKSA","Durango",490.684408528384,0.17488733133575
"SKSA","Mesoamerican",507.767465749974,0.2259009425
"SKSA","Nueva Granada",188.190635484226,0.104033338571429
"TXLU","Durango",328.365162816513,0.069843728000908
"TXLU","Mesoamerican",-67.9524812834181,0.219845670000001
"TXLU","Nueva Granada",NA,0.22957225000766
"WAOT","Durango",646.732669823017,0.335102710967742
"WAOT","Mesoamerican",351.848366013073,0.361984169666667
"WAOT","Nueva Granada",600.01150906234,0.477429738333333
"WARO","Durango",602.242297545272,0.5415031
"WARO","Mesoamerican",541.504914508814,0.472035146153846
"WARO","Nueva Granada",NA,0.353347115401385
"WYPO","Durango",578.651070083972,0.257029767108032
"WYPO","Mesoamerican",542.677284806459,0.425656287439871
"WYPO","Nueva Granada",317.610208695653,0.342555638022935
"WYTO","Durango",508.438804597701,0.320448045357143
"WYTO","Mesoamerican",383.695452131377,0.327040221428571
"WYTO","Nueva Granada",NA,0.376105019228571
