"PC1","PC2","Race"
-126.701074133364,43.7405257172113,"Durango"
-71.9595165568353,58.1205815231633,"Durango"
81.5375779001877,131.203782822145,"Durango"
-21.2968177613244,98.3830381425887,"Durango"
-36.3845713112382,99.3676529643021,"Durango"
-18.6185827837998,97.1429727235543,"Durango"
-106.358823628269,96.1265631928776,"Durango"
-72.7790110988896,75.4091012279026,"Durango"
22.2028912093536,75.2903638003385,"Durango"
-106.857666028455,128.501211777473,"Durango"
-78.4513514118617,102.568771073899,"Durango"
-106.911134282611,52.7208118526842,"Durango"
-130.856111079278,47.2806120929713,"Durango"
-77.3003759957951,88.8928883520846,"Durango"
-35.3443405930975,47.3919722544269,"Durango"
-105.561098012694,84.4958871049859,"Durango"
-110.884244683193,60.5251353771224,"Durango"
-24.9077836683858,147.244047574079,"Durango"
-22.5518282538264,51.9150679127662,"Durango"
80.2087673701839,130.347752388121,"Durango"
-31.6371903957056,149.208577151378,"Durango"
43.615221180908,141.290144416077,"Durango"
-2.8231480770861,140.744330744011,"Durango"
-52.3582341608472,148.050274976,"Durango"
59.4427103794324,-43.8108759397911,"Durango"
7.0327892341883,75.2205981740897,"Durango"
-78.266775952535,110.010200816625,"Durango"
31.0523087685895,72.87809986203,"Durango"
11.271459387334,126.443646031549,"Durango"
112.052165851591,-105.79656306245,"Durango"
78.7957890243034,80.9296367273069,"Durango"
-42.7787879819509,56.8613485201076,"Durango"
23.9554230530146,61.7383498258612,"Durango"
-91.4795489703608,80.9756585789071,"Durango"
132.803328470673,103.391934023051,"Durango"
-97.7943434058369,39.7965501749513,"Durango"
44.442695190101,93.9964388160987,"Durango"
113.99079907353,113.605195521701,"Durango"
-58.3464623335467,60.2234209706065,"Durango"
64.003012790483,118.152984108864,"Durango"
-16.999395520836,75.3908438901298,"Durango"
-87.3283572579311,55.3483591759092,"Durango"
-76.6634722233879,66.5501148113471,"Durango"
-81.6185043686423,77.4078638137466,"Durango"
66.8469781423812,87.3665372646618,"Durango"
-105.728858114556,72.2063759166172,"Durango"
-141.830302498474,32.709138508152,"Durango"
-77.0206864221522,86.5954965246602,"Durango"
5.03870019430056,-62.2055204042564,"Durango"
69.3929727242222,83.2869418556834,"Durango"
23.300280612972,110.570882715277,"Durango"
35.9259271900367,114.354304342706,"Durango"
-4.13583567085764,-88.0538244141502,"Durango"
-84.1228414726259,60.9884196554365,"Durango"
-81.3879362432234,47.0211938281325,"Durango"
-41.4655826086064,40.0650781258967,"Durango"
-71.2156531287614,34.7048972864114,"Durango"
-141.903530081527,102.313085853337,"Durango"
-59.9570097786619,69.4553931066479,"Durango"
-159.498816032878,64.3356003717687,"Durango"
-7.21568285112868,98.9555294499649,"Durango"
-19.7460185249468,-77.7854301851206,"Durango"
221.561449678573,-49.9178501726133,"Durango"
-77.3543471278273,-88.840948119326,"Durango"
200.777820446235,-31.6513686379396,"Durango"
254.177699648054,13.7460209232457,"Durango"
-68.0407826404644,122.360441793692,"Durango"
-40.0820763853689,68.9055627523597,"Durango"
49.1758491754833,-106.922249897245,"Durango"
-40.4162959268988,76.9807290961895,"Durango"
-86.3116794016274,75.6804110791655,"Durango"
-46.5801199007407,-92.6729624979438,"Durango"
52.982351286375,-137.857073437149,"Durango"
218.135465198309,-65.1648087253569,"Durango"
-74.6815774807168,-134.171310764915,"Durango"
199.448097043714,-62.2712090644668,"Durango"
3.27161169238951,-81.5588962140957,"Durango"
-85.4189600702065,-71.0781757293481,"Durango"
-47.4737819474032,-83.7509692728525,"Durango"
100.613615567678,-6.35211386777733,"Durango"
148.465970941015,-74.1184092700731,"Durango"
190.063293957086,-84.8374299378641,"Durango"
197.976337117931,-9.47256310690682,"Durango"
228.807629960705,-59.3467844394883,"Durango"
-47.3787677709082,-137.606601877326,"Durango"
-3.98779459673396,-89.7064754471243,"Durango"
268.495557640717,-38.9692077396184,"Durango"
-58.2117707570183,-115.494465373428,"Durango"
-122.28120795935,-123.777161913642,"Durango"
-118.421326273774,-130.519634619718,"Durango"
-97.9097193655003,-122.305111816271,"Durango"
77.4344774187586,-12.1066992564853,"Durango"
-37.2971849062726,-92.8438749790081,"Durango"
149.500027812385,-60.3980725229867,"Durango"
158.063237666735,-63.1912805800582,"Durango"
-84.4053061210297,-116.598423469754,"Durango"
113.568473511269,2.06999154306497,"Durango"
-108.849357204431,-115.812499305315,"Durango"
-106.756704909867,110.675060489309,"Durango"
-68.8606591904909,-88.656334566144,"Durango"
-88.1368060671875,-86.7086120739082,"Durango"
39.7735001792563,110.174344868682,"Durango"
10.1460089502132,-74.2908980687901,"Durango"
-69.792279142328,-25.0177467739436,"Durango"
-79.4112000725311,61.7154838004358,"Durango"
-37.9614922000204,-16.2010550676564,"Durango"
21.5042382006105,-22.1073367698011,"Durango"
-82.2403201429529,-144.907267427051,"Durango"
-114.201526883754,-92.8152437923294,"Durango"
-84.3996507301508,-123.686996134464,"Durango"
-92.3800853587811,-145.113681433654,"Durango"
-40.0720723738551,-122.068765525383,"Durango"
-40.9404503377432,104.688617750891,"Durango"
-59.9372707305789,-110.849505227043,"Durango"
51.9624645011119,117.840584688179,"Durango"
-106.880384326232,-149.03505418357,"Durango"
111.209404881095,94.8170451628713,"Durango"
-73.5073762089256,-139.101761416245,"Durango"
225.019697860933,-37.8307212654291,"Durango"
79.2783223455289,-124.666740069546,"Durango"
-12.9914492392898,-57.9359970379294,"Durango"
115.312302193504,9.00625173603256,"Durango"
-122.921017993829,-111.026830428508,"Durango"
-100.33460984366,-127.932585628556,"Durango"
66.3100489430899,146.176959235955,"Durango"
