"Year","Y0","Heritability","Race"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,0.3496654,"Nueva Granada"
1983,0,0.514162,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,0,"Nueva Granada"
1983,0,0.3592508,"Nueva Granada"
1983,0,0,"Nueva Granada"
1983,0,0,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,0.4922412,"Nueva Granada"
1983,0,2.18e-10,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,0,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1983,0,NA,"Nueva Granada"
1984,1,0.8468651,"Durango"
1984,1,0.646517,"Durango"
1984,1,0.8327173,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,0.2582303,"Durango"
1984,1,0.2543273,"Durango"
1984,1,0.1352507,"Durango"
1984,1,0.6774605,"Durango"
1984,1,0.7009271,"Durango"
1984,1,0.3145903,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,0.9057278,"Durango"
1984,1,0.1108811,"Durango"
1984,1,NA,"Durango"
1984,1,0.04674161,"Durango"
1984,1,0.4355652,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,0.359526,"Durango"
1984,1,0.1467452,"Durango"
1984,1,0.03455741,"Durango"
1984,1,0,"Durango"
1984,1,0.576311,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,0.7569125,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,0,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,0.07963702,"Durango"
1984,1,0.003042784,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,0,"Durango"
1984,1,0.8834952,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,0.2607176,"Durango"
1984,1,NA,"Durango"
1984,1,NA,"Durango"
1984,1,0.2857115,"Mesoamerican"
1984,1,0.3305472,"Mesoamerican"
1984,1,0.3656545,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,0.4269688,"Mesoamerican"
1984,1,0.3012389,"Mesoamerican"
1984,1,0.4868776,"Mesoamerican"
1984,1,0.7187505,"Mesoamerican"
1984,1,0.2281091,"Mesoamerican"
1984,1,0.551685,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,0.5451791,"Mesoamerican"
1984,1,0.7562693,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,0.6216808,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,0,"Mesoamerican"
1984,1,0,"Mesoamerican"
1984,1,0,"Mesoamerican"
1984,1,0.7798413,"Mesoamerican"
1984,1,0.6193202,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,0.90417,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,0,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,0,"Mesoamerican"
1984,1,0.1826024,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,0.6022337,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,0,"Mesoamerican"
1984,1,0.8252551,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,0,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,NA,"Mesoamerican"
1984,1,0.2369999,"Nueva Granada"
