Phenotype,V_g,V_e,h2
CADV_5,444795.8317039547,30.335121654043352,0.9999318045476719
COFC_5,690370.4139374794,18951.968044151323,0.9732815874339038
IDKI_5,558523.3586215319,38.09135073389316,0.9999318045476719
MIEN_5,799719.4051675585,54.540946015437626,0.9999318045476719
MNPR_5,354451.5278132202,53123.4850178225,0.8696596127205558
MTSI_5,3.0995342762974186e-4,309886.52788893005,1.0002158836373017e-9
NESB_5,90525.96369802275,12556.654844091123,0.8781884373750054
ONEL_5,441792.4207597082,30.130288717498562,0.9999318045476718
WAOT_5,420445.92083067546,28.674455217992595,0.9999318045476718
WYPO_5,797606.9215141172,54.39687441212734,0.9999318045476719
CADV_4,4.066285481699651e-4,406582.51696355175,1.0001132139180076e-9
IDKI_4,20199.7422538471,245015.334280525,0.07616362733899555
MIEN_4,1516577.7712572862,238602.73510967585,0.8640580075700828
MNPR_4,0.0010070843481891339,1006943.3712981911,1.0001400037854519e-9
MTSI_4,1052803.7897880406,71307.79561835996,0.9365651982026499
NESB_4,285511.8171099157,72752.65915962232,0.7969303015549682
NYFR_4,3.5621426265658543e-4,356184.82268644363,1.0000826526343152e-9
ONEL_4,0.0012895699849695473,1288433.2644535515,1.0008822492065742e-9
WAOT_4,1067454.2377908356,428986.5018936133,0.7133287737247298
WYPO_4,954134.9016895038,401890.0168288898,0.7036263778485732
COFC_4,1365896.7065821642,703667.9097576261,0.6599922977992707
NDFA_4,5.842252068491835e-4,584180.922032865,1.0000758056800193e-9
PRIS_4,8.033138089566131e-5,80315.21789146427,1.0002012436033148e-9
ONGU_4,3.3380893014549313e-7,203.21279990537218,1.6426570066088386e-9
CAD2_3,66613.43095137466,4.543042869718513,0.9999318045476719
COFC_3,2680.4781402241374,178907.1117649387,0.014761350936063759
IDKI_3,880371.37314314,60.04141855989632,0.9999318045476719
MISA_3,40824.94196312018,704458.8924887545,0.05477771028422378
MNPR_3,650648.4730804067,274567.66540235525,0.7032394334878208
MTSI_3,3.2637438423493336e-4,326361.5357898619,1.000039367747958e-9
NESB_3,191111.08222457572,108695.42954961846,0.6374480697354405
NYFR_3,49123.94604094302,242504.1203177273,0.16844725082299175
ONGU_3,2.0092483823136458e-4,200918.65523591216,1.0000307726254397e-9
WYLI_3,609597.8797098955,41.57463834632907,0.9999318045476719
WYPO_3,44812.68170683931,346478.9947459433,0.11452500628964153
CADV_3,122997.30064675931,268056.0441742678,0.3145281897615562
IDP2_3,995066.8750886611,67.86366363660983,0.9999318045476719
IDPA_3,8.107564186737812e-4,810688.4959630467,1.0000837829823025e-9
MIEN_3,0.001003806626171159,1003776.0147248158,1.000030495291835e-9
WAOT_3,900681.2472546346,723972.048423985,0.5543836642872281
MNPE_3,2.361368671095503e-4,236115.71190884677,1.00008959575106e-9
WYTO_3,2.7628498077227124e-4,276263.21031399886,1.0000788023202252e-9
AZKS_3,739080.7273850614,1330.981090847122,0.9982023770348163
AZBO_3,732441.20413734,116255.64986687603,0.8630186393193598
NDFA_3,2.1482928157132204e-4,189727.9999320651,1.1323014073041055e-9
NEMI_3,8.936773645061535e-4,893674.5724646327,1.000003123226202e-9
ABBI_3,8.583898062056988e-5,85822.31171758936,1.0001942247510149e-9
