Phenotype,V_g,V_e,h2
CADV_5,350572.8490970285,22762.75460356887,0.9390287066705166
COFC_5,0.0013079238125736498,1307923.0072841381,1.000000614701005e-9
IDKI_5,251580.3392766281,17.157805118105294,0.9999318045476719
MISA_5,979104.8889807548,66.7750545357364,0.9999318045476719
MTSI_5,53597.877876691404,246824.97692063765,0.17840812381884044
NDHA_5,3.260158219984493e-4,325998.39980323694,1.0000534415788226e-9
NESB_5,7.83961180441717e-5,78394.98235251942,1.0000144857900462e-9
ONEL_5,5.402922727958853e-4,540163.9708398532,1.0002375230902795e-9
WAOT_5,3.133856436548011e-4,313346.8797966231,1.0001237080923826e-9
WYPO_5,8.168323438736767e-5,81673.98395101097,1.000113259500966e-9
CADV_4,52584.50604855745,536716.9399330361,0.08923193114004321
IDKI_4,60592.847917896695,586725.4407569587,0.09360595703535293
MISA_4,583373.4189344426,713929.0620086406,0.44968188028928696
MTSI_4,165037.56520156085,426007.09104741924,0.2792302805831275
NDHA_4,316145.2532909532,66190.18196991179,0.8268792901062109
NESB_4,249049.45881353473,233042.2819608122,0.5166017953626538
NYFR_4,84302.07643052246,293990.74759008916,0.22284873272121386
ONEL_4,763994.115480808,604279.0321815154,0.5583637424925585
WAOT_4,207584.42127438477,624994.4363336291,0.2493270389675419
WYPO_4,62848.33262033623,474089.9055198846,0.11704946333869307
COFC_4,347830.75901022786,723966.7238073612,0.32453030034725855
NDFA_4,5.972567142627954e-4,597255.0618273224,1.0000027657165593e-9
PRIS_4,287571.8447212828,145435.94237984563,0.664126265826533
ONGU_4,86610.93266203301,255887.8192990855,0.25287955697971515
CADV_3,10286.53782116214,388601.6001325404,0.025788026372336143
COFC_3,3.4309378020765504e-4,343068.93271431077,1.0000724261157345e-9
IDKI_3,95357.41584519907,102717.40524188626,0.4814211888308325
MISA_3,3.4596084443924404e-4,345944.5861484814,1.0000469958063704e-9
MTSI_3,178637.29461209607,171655.51413414112,0.5099656348969082
NDHA_3,257049.63934119625,145976.83440493647,0.637798398085165
NESB_3,64292.19343766167,210949.12113042834,0.23358482188093488
NYFR_3,2.3288966111025488e-4,232883.82018672943,1.0000250798472184e-9
ONGU_3,74222.49277717192,145953.71291947964,0.33710496800654377
WYLI_3,114605.13369463578,7.816081952671251,0.9999318045476719
WYPO_3,414126.03652135597,166724.2097021704,0.7129652422700179
IDP2_3,0.0012906666899452862,1290636.175221399,1.00002364216483e-9
IDPA_3,177070.6691250041,1301977.237641169,0.11971936021474504
WAOT_3,497687.2668953963,556051.9659699625,0.4723059096338953
NDPR_3,580051.1448126294,39.55954797519247,0.9999318045476719
WYTO_3,163375.43479836883,354346.41875961307,0.3155660393232207
AZKS_3,163599.54914467933,136862.4486196122,0.5444933148351793
NDFA_3,102848.55155177151,29150.167280413407,0.7791632559898317
AZBO_3,2.757942659629255e-4,275771.28861207707,1.000083319315607e-9
NEMI_3,4.088357268019615e-4,408816.4372845148,1.0000471828107497e-9
ABBI_3,212985.367495515,14.525624057124306,0.9999318045476718
ABLE_3,286602.07536013366,19.546291135519326,0.9999318045476718
CACO_3,116782.23859781149,825996.1352708762,0.12387029850779879
COFR_3,54808.21320582358,20339.74702078913,0.7293373371751737
MBMO_3,106893.00411364884,94306.29878143349,0.5312791971719177
NDER_3,80610.75290256822,89439.11655897727,0.47404183936052513
NMFA_3,88063.91028537761,56269.575094548985,0.6101419227393315
SKSA_3,4.261399970384638e-5,42608.125019559295,1.0001378760897014e-9
WAVA_3,206585.36435337958,109543.35043172185,0.6534849720747847
ABBI_2,6.58387375902067e-4,658379.9742982149,1.000011241146065e-9
ABBR_2,5.53719488701625e-4,553671.6410628128,1.0000864177998228e-9
ABLE_2,5.160697080753052e-4,516059.52155207575,1.0000197380471131e-9
AZBO_2,4.3659394647952435e-4,436582.81836957764,1.0000254881155956e-9
CACH_2,279500.5105601856,19.061963682819904,0.9999318045476719
COFC_2,3.939991938140647e-4,393944.8633354013,1.000137912915401e-9
COFR_2,72257.62402933865,398875.27148901194,0.15336994023700945
IDPA_2,62987.06503364801,600378.849779594,0.0949507106517235
MBMO_2,28358.749819137694,409036.4796711648,0.06483552610343785
MISA_2,6.112157791966114e-4,611205.3580783006,1.0000170491095127e-9
MTSI_2,281159.5048009096,1011120.0512506627,0.2175686394513302
NDER_2,108884.18553312276,155882.88648603082,0.41124519262442855
NMFA_2,6.017737974451861e-4,601772.8872977875,1.0000015114433418e-9
NYFR_2,35399.54931167355,207456.35444710733,0.1457635938174866
ONGU_2,20814.25283984657,410075.6145783972,0.04830527337428241
SKSA_2,89854.30799557688,291119.51186262193,0.23585428528664068
WAOT_2,85114.7284737088,1357812.8511964758,0.05898752624380761
WYPO_2,0.001451036595790838,1451025.3044385351,1.0000077806370575e-9
IDKI_2,121165.17257620215,293622.7529669004,0.29211354794755545
MBBR_2,105480.38591987769,7.193773212165833,0.9999318045476719
MOCO_2,234792.92866096483,365354.78955684183,0.39122522927889125
NESB_2,53693.54172438926,248626.10604474437,0.17760520072248936
WYTO_2,53370.29858415101,250566.18026021327,0.17559688388533368
NDHA_2,77290.36250890068,100069.88489045313,0.4357817698284417
ONEL_2,69222.85745955349,34258.92095935583,0.6689376479338157
AZSA_2,4.861305211645758e-4,486112.88983275,1.0000362690355396e-9
MOCL_2,7.816836547263093e-6,7816.593718479,1.0000310648059447e-9
NEMI_2,2.2998931501401677e-4,229984.71233927328,1.0000200119595026e-9
TXLU_2,65431.72133997405,32235.342546798223,0.6699466405156869
ABVA_2,1.185991103731884e-4,118588.85309979087,1.000086493414179e-9
SKOU_2,9.206991967146463e-4,920693.2512015854,1.0000064566481267e-9
TXMU_2,1.6005011702778974e-5,16003.028667343855,1.000123915258127e-9
IDTF_2,118072.3890716663,8.052549127430797,0.9999318045476719
KSCO_2,84337.78842653983,5.7518458798302365,0.9999318045476719
MTHU_2,7.31974877585735e-5,73193.68244733663,1.0000519886130653e-9
TXCS_2,83096.8489081018,5.667213676527166,0.9999318045476719
TXVE_2,13324.811480933218,0.9087535189860658,0.9999318045476718
WARO_2,143008.21802059643,11265.087888326676,0.9269796688289215
AZBO_1,206294.43218119364,216400.36549864683,0.48804582718674994
COFC_1,5.829365137907864e-4,582936.3039249658,1.0000003590150115e-9
COFR_1,5.564074016032159e-4,556378.1836974564,1.0000525134704758e-9
IDPA_1,26966.844399743986,349891.0878887535,0.07155705662339609
KSCO_1,75375.30759381325,5213.293980022825,0.9353097847808372
MISA_1,36668.146265117575,212224.52048653935,0.14732513715120724
MTHU_1,6.710680871710173e-4,670981.3808046139,1.000129222207544e-9
MTSI_1,60547.88037432901,246220.8157537395,0.19737307338898666
NESB_1,4.1266405603608217e-4,412658.7919748089,1.0000127554500385e-9
NMFA_1,7.09118034290639e-4,709110.659941534,1.0000103984334124e-9
NYFR_1,3.891333644742988e-4,389090.293538796,1.0001106955044667e-9
SKOU_1,0.00100440835909725,1004388.806982433,1.0000194656792801e-9
TXLU_1,3.123259880572929e-4,312319.8601798472,1.0000196195179839e-9
WAOT_1,85210.28112639954,215866.8999290223,0.28301806476231806
WARO_1,95056.65931772346,658739.6176069116,0.12610391192901485
WYPO_1,0.0010444532195566462,1044442.567809586,1.0000101974995319e-9
IDKI_1,20203.555690441757,414391.34380052204,0.046488248513974643
KSMA_1,6.493637587589173e-4,649362.1974871109,1.0000024033158184e-9
MOCO_1,3.4180234525378134e-4,341800.2988362463,1.0000059861730301e-9
NDAR_1,1.667945663710981e-4,166794.05559507542,1.0000030613154995e-9
NDCA_1,9.162612567625523e-4,916257.8668771808,1.0000036987066955e-9
NEMI_1,3.246195704660228e-4,324588.4861569184,1.0000957642854857e-9
ONEX_1,3.5774685687565717e-4,357737.45341852895,1.0000262849172826e-9
ABBI_1,2.1784992104160496e-4,217840.4916287246,1.0000432848592588e-9
ABLE_1,165133.94102755006,11.262151830632394,0.9999318045476719
CACH_1,4.767168844623989e-4,476701.28699294286,1.0000327185874028e-9
IDNA_1,471311.46251314366,309906.85439583246,0.6033031385873902
NDHA_1,8.202490889569548e-5,81882.80734046621,1.0017354250260515e-9
NDFA_1,89664.48705027507,4158.581180813696,0.9556763463483097
NENP_1,313671.63041479106,21.39243758558408,0.9999318045476719
IDTF_1,124862.90151923963,183822.85353938089,0.40449842428111954
ABVA_1,100178.71305743454,6.832198575470056,0.9999318045476718
CAIR_1,5438.577748297709,132887.9572891857,0.03931695207158898
NES2_1,217635.46023961226,37100.838383826194,0.8543559022239302
ABBR_1,704801.5807588128,48.06754058907372,0.9999318045476719
AZSA_1,186334.6510488454,12.70804244337568,0.9999318045476718
WYTO_1,4.3143517884331804e-5,43076.932244442934,1.001545736736795e-9
ABBI_0,243282.59624994264,102033.52624243642,0.7045213947556468
ABBR_0,111376.97788685923,90144.4840029247,0.5526804780116845
CACH_0,240479.10208774213,10868.640184463453,0.9567585525686048
CARI_0,8.219041195152583e-4,821879.1195267614,1.0000304170844275e-9
COFC_0,149.3092736872421,335769.683822148,4.44479998916421e-4
COFR_0,186288.2064488889,168112.5622363871,0.5256427832816618
IDKI_0,141658.7840553754,354835.1743813017,0.2853182433506743
IDPA_0,28354.162574829046,307073.7385967473,0.08453131798456286
IDTF_0,7.279677444597757e-4,727928.8263578642,1.0000534631580666e-9
