Phenotype,V_g,V_e,h2
COFC_2015,0.0013079238125736498,1307923.0072841381,1.000000614701005e-9
IDKI_2015,251580.3392766281,17.157805118105294,0.9999318045476719
MISA_2015,979104.8889807548,66.7750545357364,0.9999318045476719
MTSI_2015,53597.877876691404,246824.97692063765,0.17840812381884044
NDHA_2015,3.260158219984493e-4,325998.39980323694,1.0000534415788226e-9
NESB_2015,7.83961180441717e-5,78394.98235251942,1.0000144857900462e-9
ONEL_2015,5.402922727958853e-4,540163.9708398532,1.0002375230902795e-9
WAOT_2015,3.133856436548011e-4,313346.8797966231,1.0001237080923826e-9
WYPO_2015,8.168323438736767e-5,81673.98395101097,1.000113259500966e-9
CADV_2014,825469.3765718075,154321.71289253444,0.8424952884834837
IDKI_2014,270752.5812631371,242661.30090625343,0.5273573439796623
MISA_2014,688218.616623328,46.93658072259416,0.9999318045476719
MTSI_2014,1.3859658973167856e-4,138577.36327518718,1.0001387406818917e-9
NDHA_2014,232393.42755609003,15.849255757428498,0.9999318045476718
NESB_2014,198747.64443772638,13.554609874324903,0.9999318045476719
NYFR_2014,10211.919841223882,47100.18205905904,0.17818086412170953
ONEL_2014,873569.2472553771,59.577512871929486,0.9999318045476719
WAOT_2014,725955.7465349506,49.51025687949087,0.9999318045476719
WYPO_2014,241654.18994138567,64292.79642510833,0.7898564153591893
CADV_2013,2.1477352565630285e-4,214757.1266964603,1.0000763594917892e-9
COFC_2013,1388558.6462333049,94.69984306259528,0.9999318045476719
IDKI_2013,179062.2189334576,12.212061822118658,0.9999318045476718
MISA_2013,99698.54920469128,6.799451351128854,0.9999318045476719
NDFA_2013,211135.77693118708,14.399481789639204,0.9999318045476718
NESB_2013,3.389466079209128e-5,33880.716778049806,1.000411560954398e-9
NYFR_2013,228051.52033898438,15.553137236854923,0.9999318045476719
ONEL_2013,3.858270346456498e-4,385810.6647422516,1.0000424288881845e-9
WAOT_2013,799460.6918637513,54.523301741401944,0.9999318045476718
WYPO_2013,2.531391838380772e-4,253138.12892201755,1.0000041663534603e-9
CADV_2012,279160.8416284259,19.038798226597986,0.9999318045476718
COFC_2012,1.543480355751452e-4,154266.42549211334,1.000529019378921e-9
IDKI_2012,251225.36755350098,17.133596009931875,0.9999318045476719
MISA_2012,1.3508697368155663e-4,135086.3359072938,1.0000047202344408e-9
MTSI_2012,7.688796709370466e-5,76887.75105830828,1.0000028087504866e-9
NDFA_2012,693524.9531992553,47.298473425031155,0.9999318045476719
