Location_code,Year,PC1,PC2,PC3,PC4
ABBI,1981,-0.8102295199212932,2.3969105744603474,0.5449432502722412,0.12140099392484152
ABBI,1982,-2.3037630387723977,2.598596510769697,-0.027685036661921694,-0.043210162073359065
ABBI,1984,-1.2861385924049795,2.375647462970413,-0.3140646070439194,-0.41546167901924824
ABBI,1985,-1.7149359315420514,2.39165269646017,-0.11476815668321534,-0.04698167353523386
ABBI,1986,-1.4170905709726482,2.4470698217612576,0.8897552656891055,0.5628063473796112
ABBI,1987,-1.0507277382786069,2.9222286583585473,1.769074150379239,0.5266515799745999
ABBI,1988,-0.511686398468112,2.494192087879173,0.531571122223045,-0.19489259034331471
ABBI,1989,-1.4560003167398436,2.276620159072663,0.20840833264442657,0.18562446591833434
ABBI,1990,-1.2445532669032626,2.405615674641987,0.2490600150058832,-0.022462355191907174
ABBI,1991,-0.9568638863129569,2.2147015781501227,0.3854654399227082,0.22256567063107374
ABBI,1994,-1.3283584645155502,2.954882587389063,1.0068092161491757,-0.0019364879200774732
ABBI,1995,-2.3871216888563866,2.8984031581944443,1.0038123321593724,0.4261687845772486
ABBI,1996,-2.096148834754535,2.580663612576177,0.02685089020100888,-0.018639005828143485
ABBI,2000,-1.4897803076445255,2.706498599734831,0.48675596875268645,-0.13431655647322022
ABBI,2001,-0.49397991292192545,3.091754303729407,0.73563759409607965,-0.8920729386480197
ABBR,1981,-2.870453502027864,-0.05078840667987705,0.9510445444929938,0.2620172338821777
ABBR,1982,-3.7563347151487054,0.4120066397134575,0.6519464579930337,0.05595852524831692
ABBR,1983,-2.7527227308960587,0.12018103039018996,0.3425057220819189,0.06706847789526688
ABBR,1984,-2.9126771863841423,0.26518067170459536,-0.050543200878560214,-0.13041354946415043
ABBR,1986,-3.06920852139832,0.30450527716247117,1.3619745731925805,0.5567817033019369
ABBR,1987,-2.6409138368544967,0.5027239508899464,2.0398595827750152,0.989064738323447
ABBR,1997,-2.2373893559785474,0.9570136372871794,0.35601947676147405,0.35242160502440667
ABBR,1998,-1.7233886361860509,0.10656313897457231,-0.10946498478612862,0.05045673218697662
ABBR,2000,-2.0586906616826957,1.3713302237665959,-0.005511339088433997,0.30259418427805856
ABLE,1991,-1.4048965254404333,2.2585367058691324,0.8254945025821707,0.6056551890986921
ABLE,1994,-1.8740780223358546,2.6120186477371354,1.0224485498455664,0.5805826184278292
ABLE,1997,-2.561438436216216,0.3623002859026039,0.99310481988046,0.41796154988658524
ABLE,1998,-2.115938670706421,-0.3368255325534159,0.6641625150281655,0.17454733180238213
ABLE,1999,-2.5497769267951496,0.7399217998198935,1.6346240961298328,0.8463474379790287
ABLE,2000,-1.923765744726414,1.1972194785870094,0.449013989034859,0.5271478752067433
ABLE,2001,-1.1128982835150687,1.4509928834296908,0.12478333027132119,0.4312450601397522
ABVA,1988,-2.3720427661591104,0.31625000182301904,1.0371335088528555,0.4888604549107118
ABVA,1995,-3.3065596617675372,0.8241540136814476,1.4121058381908689,0.6367126179194328
ABVA,1996,-2.5099455170097955,1.3165355149434903,-0.10674126985695112,0.21040607669815495
AZBO,1991,4.334428311453987,0.10619374459934766,0.34363966209412095,0.40160929239625076
AZBO,1992,4.138051763286429,-0.3040865582028569,0.03021075473013647,0.7121773455448571
AZBO,1993,4.817390785324583,-0.24680553251777643,0.28839712021633657,0.5514265262977334
AZBO,1994,5.798830963693314,-0.9694651993175556,-0.061076744161603094,0.8602029513774143
AZBO,1995,5.203668767353069,-0.23644082984145115,1.0058536893654833,1.1080547533464924
AZBO,1998,5.310969934992611,-0.14532815034980712,0.12851067638280084,0.19786731685137182
AZBO,1999,4.464634084981939,-0.2998110533861371,0.21177549402278867,0.6499597569379287
AZBO,2000,5.771875274488644,-0.7836166692318394,-0.2186937014208522,0.40131668191465875
AZBO,2001,5.11192510423291,-0.5721761413536055,-0.6403159636962593,0.17831841842014134
AZBO,2002,6.040453711607763,-0.20850984790364663,-0.33742151056257325,-0.30686286587948997
AZBO,2003,7.012114593216302,-0.26266862203416624,-0.18264393418471245,-0.6750517426418925
AZHE,1981,5.403233017147419,-0.35549094059224423,0.5858152812035973,0.7892372484563293
AZHE,1982,4.958719114692269,-0.3061671636705871,0.25401915142468756,0.6645237729105681
AZKS,2003,4.9493184289571435,0.6501459920993129,-0.11926687048903994,-0.7633751858385587
AZKS,2004,3.524656302090382,0.32107096595288226,0.1518230847182074,0.4028747272708787
AZSA,1985,5.295445855959817,-3.021763898435226,-0.9848157521342785,0.717908660292846
AZSA,1987,4.821968884666865,-2.5924169112683204,-1.1149833051329736,0.5227785314369534
AZSA,1997,5.785420634646549,-3.3950398509836623,-0.39635327028300993,1.0012454353530824
CACH,1986,3.82240549245555,-1.6118304862480146,1.9941884134326602,2.3214559107379897
CACH,1987,3.5896471862704447,-1.7692919363686337,0.5970202100334128,1.5613027518792701
CACH,1988,4.594780817531531,-1.8509028203109492,0.6409958955967704,1.705658209018612
CACH,1989,3.330392477611618,-1.7987453710581403,0.8604542423402959,1.550983860331078
CACH,1991,3.650945484565632,-1.777778012353454,1.0394305472888739,1.668960355363653
CACH,1992,4.120780765816774,-2.119281759210501,0.799318146836074,1.5021109320383863
CACH,2000,3.398667000672508,-1.7971815974405074,1.4326748324826177,1.8287969732367035
CACO,2001,4.942576655469142,0.16716160759708731,2.071999489436633,-1.822834946718082
CADV,1981,3.6875333239286476,-1.2228636886453952,1.4980490542395892,1.6854935097321526
CADV,1982,1.7561055862221118,-1.3316878092451854,2.060439212609407,1.8974345539916624
